countryiso3code,date,NY.GDP.MKTP.CD,FP.CPI.TOTL,SL.UEM.TOTL.ZS
CAF,2021-01-01,2516498412.46384,160.95649049113,6.676
CAF,2020-01-01,2326720900.38047,154.380847959423,6.556
CAF,2019-01-01,2221301351.43918,151.785085312376,5.978
CAF,2018-01-01,2220979146.11241,147.815682079127,5.896
CAF,2017-01-01,2072349972.6818,145.470469904858,5.969
CAF,2016-01-01,1825018144.65595,139.632808518549,5.904
CAF,2015-01-01,1695825714.19282,133.052773088714,5.871
CAF,2014-01-01,1894813389.40325,131.211909142167,5.685
TCD,2023-01-01,13149325358.7383,143.049515597449,1.082
TCD,2022-01-01,12396807590.173,129.063711291026,1.104
TCD,2021-01-01,11779981332.16,122.00219164626,1.511
TCD,2020-01-01,10715396042.3343,122.952422521941,1.693
TCD,2019-01-01,11314951091.7283,117.698204738763,1.081
TCD,2018-01-01,11239167898.3395,118.853387371944,1.135
TCD,2017-01-01,10000394381.0177,113.981125136835,1.116
TCD,2016-01-01,10097778098.1707,115.760479031492,1.044
TCD,2015-01-01,10950392256.9543,116.685139362731,0.968
TCD,2014-01-01,13940767218.5849,111.791867727178,0.926
CHL,2023-01-01,335533331669.219,170.651472801548,9.037
CHL,2022-01-01,302116539409.03,158.625026875941,8.299
CHL,2021-01-01,315515014838.539,142.081272844549,9.325
CHL,2020-01-01,254042159309.311,135.930982584391,11.006
CHL,2019-01-01,278285058719.466,131.913566974844,7.533
CHL,2018-01-01,295857562991.709,128.623951838314,7.647
CHL,2017-01-01,276154259987.103,125.566544829069,7.29
CHL,2016-01-01,249344863933.461,122.884325951408,6.926
CHL,2015-01-01,242450355827.827,118.401419049667,6.605
CHL,2014-01-01,259560978231.552,113.466996344872,6.761
CHN,2023-01-01,17794781986104.5,132.229151902431,4.67
CHN,2022-01-01,17881783387000.9,131.919356668535,4.98
CHN,2021-01-01,17820459508852.2,129.366216637457,4.55
CHN,2020-01-01,14687744162801.0,128.109443605623,5.0
CHN,2019-01-01,14279968506271.7,125.083154382075,4.56
CHN,2018-01-01,13894907857880.6,121.558877866113,4.31
CHN,2017-01-01,12310491333980.9,119.088050428682,4.47
CHN,2016-01-01,11233313730348.7,117.220567369674,4.56
CHN,2015-01-01,11061572618578.7,114.922122819495,4.65
CHN,2014-01-01,10475624944355.2,113.294060199837,4.63
COL,2023-01-01,363540156234.868,184.119324369034,9.565
COL,2022-01-01,345329875078.512,164.780806314133,10.547
COL,2021-01-01,318524633225.395,149.559763199866,13.898
COL,2020-01-01,270348342541.465,144.509087395731,15.983
COL,2019-01-01,323031701192.84,140.94784969246,10.28
COL,2018-01-01,334198218098.276,136.151216036968,9.36
COL,2017-01-01,311866875156.879,131.877630006754,9.086
COL,2016-01-01,282720100286.228,126.423331457792,8.922
COL,2015-01-01,293492370193.166,117.588375602645,8.572
COL,2014-01-01,381240864422.406,111.999775887943,8.799
COD,2016-01-01,37134801555.3322,133.850926577035,4.548
COD,2015-01-01,37917706497.1793,130.096534344839,4.456
COD,2014-01-01,35909040925.9375,129.135509183589,4.446
COG,2023-01-01,15321055818.3263,138.814612802413,20.054
COG,2022-01-01,15817030156.9459,133.089443475834,20.261
COG,2021-01-01,14825690210.0308,129.158575405592,22.077
COG,2020-01-01,11468688140.7225,126.980051354846,22.373
COG,2019-01-01,13976637328.8474,124.740496075729,20.608
COG,2018-01-01,14773900277.9221,122.048027425109,20.938
COG,2017-01-01,11834473047.7636,120.657117555654,20.887
COG,2016-01-01,10931328149.6857,120.116516568787,20.524
COG,2015-01-01,12434793867.7228,116.402619073639,20.2
COG,2014-01-01,17919321082.5539,112.827020267541,19.781
CRI,2023-01-01,86497941439.0174,143.695505220117,8.304
CRI,2022-01-01,69243626028.5936,142.944768574546,11.325
CRI,2021-01-01,64960725734.1965,132.020379357515,15.139
CRI,2020-01-01,62395610760.3912,129.77976091938,16.432
CRI,2019-01-01,64417670521.1842,128.845743336848,10.807
CRI,2018-01-01,62420164991.5374,126.20052189975,9.01
CRI,2017-01-01,60516044657.2254,123.458369999913,7.729
CRI,2016-01-01,58847019609.6549,121.483166772673,8.085
CRI,2015-01-01,56441920821.0806,121.50440434597,8.415
CRI,2014-01-01,52016408951.8225,120.53771357375,8.499
CIV,2023-01-01,78788828906.8634,130.764985523184,2.403
CIV,2022-01-01,70173140101.4315,125.269275743533,2.434
CIV,2021-01-01,72794636653.7793,118.991105987766,2.59
CIV,2020-01-01,63027852805.4204,114.313454421135,2.559
CIV,2019-01-01,60382894697.3557,111.606977877028,2.401
CIV,2018-01-01,58522477786.6889,112.856141244189,2.851
CIV,2017-01-01,52512343996.69,112.451978676858,3.273
CIV,2016-01-01,48407761036.8238,111.685945921178,1.896
CIV,2015-01-01,45815005169.2651,110.884056313105,2.574
CIV,2014-01-01,48843005613.7091,109.513495413212,3.275
HRV,2023-01-01,82688842717.3926,134.878310665712,6.063
HRV,2022-01-01,71997070660.4835,124.955261274159,6.96
HRV,2021-01-01,69602166351.4771,112.795275590551,7.608
HRV,2020-01-01,58221300897.8838,109.985683607731,7.507
HRV,2019-01-01,61867157679.3215,109.815676449535,6.617
HRV,2018-01-01,61861145806.2687,108.974588403722,8.432
HRV,2017-01-01,56322449844.1579,107.363994273443,11.208
HRV,2016-01-01,52740059263.4245,106.164996420902,13.103
HRV,2015-01-01,51011170111.8487,107.372942018611,16.175
HRV,2014-01-01,59489433514.5849,107.874015748031,17.29
